Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dk.kip.rkkp.fhir.ig.core.json	263453	-	0	0	0	0	0	0	47	107	0	0	0	0	0	0	0	3	0	0	961	837	0	0	0	60	0	18
fsh-generated/resources/CodeSystem-ACTherapyNotGiven.json	3014	3	0	0	1	0	1	0	1	10	0	0	0	0	0	0	0	0	0	0	18	82	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AKBehandling.json	2508	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ASAClassification.json	2614	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ATC.json	15701	2	0	0	1	0	0	0	3	25	0	0	0	0	0	0	0	0	0	0	61	124	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-ATCMixedCodes.json	2536	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	39	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ActilyseNotGiven.json	2209	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ActivityType.json	3371	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	17	38	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AktuelSygdomsforlob.json	1922	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	13	46	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Alchohol.json	2454	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AlchoholDrugs.json	2362	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AlloplastyTypes.json	4692	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	1	0	0	22	38	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AnasthesiaService.json	4782	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	22	37	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AnasthesiaTypeGen.json	1961	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	11	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AnastomosisLeak.json	1935	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AnastomosisLeakConsequence.json	3076	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	30	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AnastomosisLeakGrading.json	2160	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	15	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AnastomosisType.json	2819	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	15	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AnatomicalLocations.json	6356	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	30	39	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-AneurysmClosure.json	1837	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AneurysmSizeScale.json	2045	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	20	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AnnArborStagingClassification.json	2748	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	22	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ArtrosePlacering.json	2272	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	13	20	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AssessmentType.json	3187	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	22	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AssistDevices.json	1807	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	19	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BANFF.json	2334	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BasicDisorder.json	6318	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	27	27	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BehandlingAfbrudt.json	2947	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BinetStagingSystem.json	2440	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	19	0	0	0	1	0	0
