Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/CodeSystem-BoneLossAcetabulumFemurClassification.json	4127	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BulkingMaterialeDUGA.json	1988	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	96	12	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CALRGeneType.json	1817	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	48	13	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CalciumType.json	1878	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CancerInvestigation.json	2628	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	59	12	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CauseOfDeath.json	3687	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	83	11	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CementType.json	4112	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	99	12	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CentralBlock.json	2192	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ChemotherapyRegimen.json	7393	1	0	0	1	0	0	0	0	55	0	0	1	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ChromosomPair.json	1944	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	13	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ClinicalProtocolCodes.json	2290	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ClinicalProtocolNotParticipated.json	2201	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CognitiveFunctionFinding.json	2632	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	334	11	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CognitiveTest.json	2760	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	26	12	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Competence.json	3132	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Complications.json	13306	1	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	50	21	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-ConferenceParticipants.json	1908	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ContactPatient.json	2391	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ContactPlace.json	2395	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ContaminationDegree.json	2159	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	351	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CoronaryArteryGraph.json	2219	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-Cyclus.json	2692	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CytogeneticChanges.json	2091	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CytogeneticExamination.json	2171	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DHDeksklusionskriterie.json	3334	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DSAFindingsLocation.json	5253	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DatabasesKIP.json	1892	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	286	11	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DeathPlace.json	2242	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DefibrilleringAnalyse.json	2220	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	114	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DetectionMethods.json	2314	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	234	13	0	0	0	1	0	0
